lake,density,survival,ln.growth,color,1.1,2.1,3.1,4.1,5.1,6.1,1,2,3,4,5,4.5,6,7,8,10,11,12,11.5,13
CP,H,0,0,orange,-1.862,50.704,0.010840204,-0.503,101.137,0.299750471,0.205091064,0.277114805,0.175216042,0.311876816,0.26515854,0.288517678,0.97001721,0.472363961,3.113575602,0.202610619,0.144890088,0.147252811,0.146071449,0.671976302
CP,H,0,0,orange,-1.27,50.437,0.014806631,-7.644,101.52,0.364167913,0.230892558,0.296124441,0.185693866,0.316214941,0.269401085,0.292808013,1.065191194,0.519620958,3.230536395,0.219095545,0.182460907,0.179883038,0.181171972,0.699233779
CP,H,0,0,orange,2.981,48.674,0.014192402,-3.152,100.275,0.32688081,0.240190678,0.30713224,0.174532106,0.30989493,0.256957067,0.283425999,1.006380764,0.49428294,3.105067831,0.203400971,0.164696345,0.182779131,0.173737738,0.649588915
CP,H,0,0,orange,-8.947,55.223,0.012815731,-6.053,102.48,0.294832769,0.170436852,0.234589311,0.152617898,0.3048958,0.265234557,0.285065179,0.912780912,0.436806108,2.922457676,0.18779219,0.143022369,0.158729763,0.150876066,0.579008754
CP,H,0,0,orange,2.562,48.065,0.039006349,12.264,100.198,0.325340124,0.231245185,0.273224779,0.178691471,0.298703341,0.229670706,0.264187023,0.894815927,0.445510208,2.920670081,0.210967149,0.135940543,0.158012012,0.146976277,0.557560796
CP,H,0,0,orange,3.975,49.364,0.03588534,9.699,107.439,0.329233871,0.23196074,0.29236295,0.196886423,0.326471256,0.287056104,0.30676368,1.054718467,0.497869907,3.224486348,0.201803187,0.153866813,0.179463949,0.166665381,0.684542819
CP,H,0,0,orange,-6.118,49.486,0.013013765,-2.35,104.988,0.30920585,0.247100372,0.305150889,0.174264526,0.298838978,0.24491905,0.271879014,0.902664821,0.450042531,2.828764169,0.22619808,0.168179244,0.188987376,0.17858331,0.603243415
CP,H,0,0,orange,-3.05,49.065,0.011097187,-5.055,95.498,0.319198298,0.196960114,0.265182919,0.167213668,0.286015899,0.23592582,0.26097086,0.941556094,0.446475531,2.990925594,0.206770194,0.154871322,0.155000108,0.154935715,0.601424814
CP,H,0,0,orange,-3.511,55.324,0.011899015,-6.392,98.25,0.318738725,0.178795884,0.255301261,0.150402546,0.319911121,0.26272374,0.29131743,0.919204018,0.440599879,2.933355123,0.197056708,0.146690474,0.169944393,0.158317433,0.606285435
