"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"size","Linear",0.102235520119481,0.327332684561984,0.754790432960762,0.107146686382556
"speed","Linear",1.29260811355349,0.429605966576952,0.00262262259617552,0.184561286518517
"size²","Quadratic",0.452890996569856,0.543639470596815,0.404803941834132,0.295543873990785
"speed²","Quadratic",0.13983935898269,0.900723508521006,0.876622451362294,0.81130283880239
"size × speed","Correlational",0.467107818931824,0.535712665585419,0.383242620642066,0.286988060068635
