"Term","Type","Beta_Coefficient","Standard_Error","P_Value","Variance"
"size","Linear",0.0128739186150879,0.0585959979082062,0.827051239013278,0.0034334909708585
"speed","Linear",-0.00986602522278088,0.0585959979082062,0.86701178293771,0.0034334909708585
"size²","Quadratic",-0.0610022454480119,0.107781197437072,0.574281244807887,0.0116167865209691
"speed²","Quadratic",-0.12966954826548,0.0914870314363421,0.163422019425159,0.00836987692103425
"size × speed","Correlational",0.00694577455413521,0.0717055298753092,0.923273281776426,0.00514168301469886
